influence,creativity,threat,ict_index,was_home,xG,xA,xGC,Fixture,Form,total_points
11.2,41.1,19,7.1,FALSE,0.080347009,0.269381851,1.95451,10,3.5,2
18.2,14.2,0,3.2,TRUE,0,0.026777124,0.950035,8,2.5,1
13.2,13.5,0,2.7,TRUE,0,0.052420575,0.91785,5,2,2
23,18.5,19,6.1,FALSE,0.052069757,0.04824492,0.492009,5,2.5,2
5.2,33,9,4.7,TRUE,0.11232502,0.093211375,1.98688,8,1.25,2
4.4,14.6,8,2.7,FALSE,0.015051596,0.025316851,1.06276,7,4,5
77.4,38.6,29,14.5,TRUE,0.59476918,0.667525172,2.1501,6,4.25,12
26.2,47.3,2,7.6,FALSE,0,0.57244873,2.75981,7,5.25,5
11.6,40.9,34,8.7,FALSE,0.112265676,0.180624947,1.88587,2,1.75,2
14.4,1.2,15,3.1,TRUE,0.065478891,0,1.98688,8,2,2
14,27.6,32,7.4,TRUE,0.329340249,0.44600752,0.837361,1,3,1
13,16.4,5,3.4,TRUE,0.021109968,0.020653948,0.831644,7,1.5,3
10,23.8,22,5.6,TRUE,0.133852288,0.070030726,0.622104,10,2,3
15.8,25.5,5,4.6,FALSE,0.048231859,0.064168006,0.720883,4,1.75,2
